dateKey,fullDate,dayOfWeekName,monthName,dayOfMonth,monthNumber,CalendarYear
"1,""2000-01-01"",""Saturday"",""Jan"",""6"",""1"",""2000"""
"2,""2000-01-02"",""Sunday"",""Jan"",""7"",""1"",""2000"""
"3,""2000-01-03"",""Monday"",""Jan"",""1"",""1"",""2000"""
"4,""2000-01-04"",""Tuesday"",""Jan"",""2"",""1"",""2000"""
"5,""2000-01-05"",""Wednesday"",""Jan"",""3"",""1"",""2000"""
"6,""2000-01-06"",""Thursday"",""Jan"",""4"",""1"",""2000"""
"7,""2000-01-07"",""Friday"",""Jan"",""5"",""1"",""2000"""
"8,""2000-01-08"",""Saturday"",""Jan"",""6"",""1"",""2000"""
"9,""2000-01-09"",""Sunday"",""Jan"",""7"",""1"",""2000"""
"10,""2000-01-10"",""Monday"",""Jan"",""1"",""1"",""2000"""
"11,""2000-01-11"",""Tuesday"",""Jan"",""2"",""1"",""2000"""
"12,""2000-01-12"",""Wednesday"",""Jan"",""3"",""1"",""2000"""
"13,""2000-01-13"",""Thursday"",""Jan"",""4"",""1"",""2000"""
"14,""2000-01-14"",""Friday"",""Jan"",""5"",""1"",""2000"""
"15,""2000-01-15"",""Saturday"",""Jan"",""6"",""1"",""2000"""
"16,""2000-01-16"",""Sunday"",""Jan"",""7"",""1"",""2000"""
"17,""2000-01-17"",""Monday"",""Jan"",""1"",""1"",""2000"""
"18,""2000-01-18"",""Tuesday"",""Jan"",""2"",""1"",""2000"""
"19,""2000-01-19"",""Wednesday"",""Jan"",""3"",""1"",""2000"""
"20,""2000-01-20"",""Thursday"",""Jan"",""4"",""1"",""2000"""
"21,""2000-01-21"",""Friday"",""Jan"",""5"",""1"",""2000"""
"22,""2000-01-22"",""Saturday"",""Jan"",""6"",""1"",""2000"""
"23,""2000-01-23"",""Sunday"",""Jan"",""7"",""1"",""2000"""
"24,""2000-01-24"",""Monday"",""Jan"",""1"",""1"",""2000"""
"25,""2000-01-25"",""Tuesday"",""Jan"",""2"",""1"",""2000"""
"26,""2000-01-26"",""Wednesday"",""Jan"",""3"",""1"",""2000"""
"27,""2000-01-27"",""Thursday"",""Jan"",""4"",""1"",""2000"""
"28,""2000-01-28"",""Friday"",""Jan"",""5"",""1"",""2000"""
"29,""2000-01-29"",""Saturday"",""Jan"",""6"",""1"",""2000"""
"30,""2000-01-30"",""Sunday"",""Jan"",""7"",""1"",""2000"""
"31,""2000-01-31"",""Monday"",""Jan"",""1"",""1"",""2000"""
"101,""2000-02-01"",""Tuesday"",""Feb"",""2"",""2"",""2000"""
"102,""2000-02-02"",""Wednesday"",""Feb"",""3"",""2"",""2000"""
"103,""2000-02-03"",""Thursday"",""Feb"",""4"",""2"",""2000"""
"104,""2000-02-04"",""Friday"",""Feb"",""5"",""2"",""2000"""
"105,""2000-02-05"",""Saturday"",""Feb"",""6"",""2"",""2000"""
"106,""2000-02-06"",""Sunday"",""Feb"",""7"",""2"",""2000"""
"107,""2000-02-07"",""Monday"",""Feb"",""1"",""2"",""2000"""
"108,""2000-02-08"",""Tuesday"",""Feb"",""2"",""2"",""2000"""
"109,""2000-02-09"",""Wednesday"",""Feb"",""3"",""2"",""2000"""
"110,""2000-02-10"",""Thursday"",""Feb"",""4"",""2"",""2000"""
"111,""2000-02-11"",""Friday"",""Feb"",""5"",""2"",""2000"""
"112,""2000-02-12"",""Saturday"",""Feb"",""6"",""2"",""2000"""
"113,""2000-02-13"",""Sunday"",""Feb"",""7"",""2"",""2000"""
"114,""2000-02-14"",""Monday"",""Feb"",""1"",""2"",""2000"""
"115,""2000-02-15"",""Tuesday"",""Feb"",""2"",""2"",""2000"""
"116,""2000-02-16"",""Wednesday"",""Feb"",""3"",""2"",""2000"""
"117,""2000-02-17"",""Thursday"",""Feb"",""4"",""2"",""2000"""
"118,""2000-02-18"",""Friday"",""Feb"",""5"",""2"",""2000"""
"119,""2000-02-19"",""Saturday"",""Feb"",""6"",""2"",""2000"""
"120,""2000-02-20"",""Sunday"",""Feb"",""7"",""2"",""2000"""
"121,""2000-02-21"",""Monday"",""Feb"",""1"",""2"",""2000"""
"122,""2000-02-22"",""Tuesday"",""Feb"",""2"",""2"",""2000"""
"123,""2000-02-23"",""Wednesday"",""Feb"",""3"",""2"",""2000"""
"124,""2000-02-24"",""Thursday"",""Feb"",""4"",""2"",""2000"""
"125,""2000-02-25"",""Friday"",""Feb"",""5"",""2"",""2000"""
"126,""2000-02-26"",""Saturday"",""Feb"",""6"",""2"",""2000"""
"127,""2000-02-27"",""Sunday"",""Feb"",""7"",""2"",""2000"""
"128,""2000-02-28"",""Monday"",""Feb"",""1"",""2"",""2000"""
"129,""2000-02-29"",""Tuesday"",""Feb"",""2"",""2"",""2000"""
"201,""2000-03-01"",""Wednesday"",""Mar"",""3"",""3"",""2000"""
"202,""2000-03-02"",""Thursday"",""Mar"",""4"",""3"",""2000"""
"203,""2000-03-03"",""Friday"",""Mar"",""5"",""3"",""2000"""
"204,""2000-03-04"",""Saturday"",""Mar"",""6"",""3"",""2000"""
"205,""2000-03-05"",""Sunday"",""Mar"",""7"",""3"",""2000"""
"206,""2000-03-06"",""Monday"",""Mar"",""1"",""3"",""2000"""
"207,""2000-03-07"",""Tuesday"",""Mar"",""2"",""3"",""2000"""
"208,""2000-03-08"",""Wednesday"",""Mar"",""3"",""3"",""2000"""
"209,""2000-03-09"",""Thursday"",""Mar"",""4"",""3"",""2000"""
"210,""2000-03-10"",""Friday"",""Mar"",""5"",""3"",""2000"""
"211,""2000-03-11"",""Saturday"",""Mar"",""6"",""3"",""2000"""
"212,""2000-03-12"",""Sunday"",""Mar"",""7"",""3"",""2000"""
"213,""2000-03-13"",""Monday"",""Mar"",""1"",""3"",""2000"""
"214,""2000-03-14"",""Tuesday"",""Mar"",""2"",""3"",""2000"""
"215,""2000-03-15"",""Wednesday"",""Mar"",""3"",""3"",""2000"""
"216,""2000-03-16"",""Thursday"",""Mar"",""4"",""3"",""2000"""
"217,""2000-03-17"",""Friday"",""Mar"",""5"",""3"",""2000"""
"218,""2000-03-18"",""Saturday"",""Mar"",""6"",""3"",""2000"""
"219,""2000-03-19"",""Sunday"",""Mar"",""7"",""3"",""2000"""
"220,""2000-03-20"",""Monday"",""Mar"",""1"",""3"",""2000"""
"221,""2000-03-21"",""Tuesday"",""Mar"",""2"",""3"",""2000"""
"222,""2000-03-22"",""Wednesday"",""Mar"",""3"",""3"",""2000"""
"223,""2000-03-23"",""Thursday"",""Mar"",""4"",""3"",""2000"""
"224,""2000-03-24"",""Friday"",""Mar"",""5"",""3"",""2000"""
"225,""2000-03-25"",""Saturday"",""Mar"",""6"",""3"",""2000"""
"226,""2000-03-26"",""Sunday"",""Mar"",""7"",""3"",""2000"""
"227,""2000-03-27"",""Monday"",""Mar"",""1"",""3"",""2000"""
"228,""2000-03-28"",""Tuesday"",""Mar"",""2"",""3"",""2000"""
"229,""2000-03-29"",""Wednesday"",""Mar"",""3"",""3"",""2000"""
"230,""2000-03-30"",""Thursday"",""Mar"",""4"",""3"",""2000"""
"231,""2000-03-31"",""Friday"",""Mar"",""5"",""3"",""2000"""
"301,""2000-04-01"",""Saturday"",""Apr"",""6"",""4"",""2000"""
"302,""2000-04-02"",""Sunday"",""Apr"",""7"",""4"",""2000"""
"303,""2000-04-03"",""Monday"",""Apr"",""1"",""4"",""2000"""
"304,""2000-04-04"",""Tuesday"",""Apr"",""2"",""4"",""2000"""
"305,""2000-04-05"",""Wednesday"",""Apr"",""3"",""4"",""2000"""
"306,""2000-04-06"",""Thursday"",""Apr"",""4"",""4"",""2000"""
"307,""2000-04-07"",""Friday"",""Apr"",""5"",""4"",""2000"""
"308,""2000-04-08"",""Saturday"",""Apr"",""6"",""4"",""2000"""
"309,""2000-04-09"",""Sunday"",""Apr"",""7"",""4"",""2000"""
"310,""2000-04-10"",""Monday"",""Apr"",""1"",""4"",""2000"""
"311,""2000-04-11"",""Tuesday"",""Apr"",""2"",""4"",""2000"""
"312,""2000-04-12"",""Wednesday"",""Apr"",""3"",""4"",""2000"""
"313,""2000-04-13"",""Thursday"",""Apr"",""4"",""4"",""2000"""
"314,""2000-04-14"",""Friday"",""Apr"",""5"",""4"",""2000"""
"315,""2000-04-15"",""Saturday"",""Apr"",""6"",""4"",""2000"""
"316,""2000-04-16"",""Sunday"",""Apr"",""7"",""4"",""2000"""
"317,""2000-04-17"",""Monday"",""Apr"",""1"",""4"",""2000"""
"318,""2000-04-18"",""Tuesday"",""Apr"",""2"",""4"",""2000"""
"319,""2000-04-19"",""Wednesday"",""Apr"",""3"",""4"",""2000"""
"320,""2000-04-20"",""Thursday"",""Apr"",""4"",""4"",""2000"""
"321,""2000-04-21"",""Friday"",""Apr"",""5"",""4"",""2000"""
"322,""2000-04-22"",""Saturday"",""Apr"",""6"",""4"",""2000"""
"323,""2000-04-23"",""Sunday"",""Apr"",""7"",""4"",""2000"""
"324,""2000-04-24"",""Monday"",""Apr"",""1"",""4"",""2000"""
"325,""2000-04-25"",""Tuesday"",""Apr"",""2"",""4"",""2000"""
"326,""2000-04-26"",""Wednesday"",""Apr"",""3"",""4"",""2000"""
"327,""2000-04-27"",""Thursday"",""Apr"",""4"",""4"",""2000"""
"328,""2000-04-28"",""Friday"",""Apr"",""5"",""4"",""2000"""
"329,""2000-04-29"",""Saturday"",""Apr"",""6"",""4"",""2000"""
"330,""2000-04-30"",""Sunday"",""Apr"",""7"",""4"",""2000"""
"401,""2000-05-01"",""Monday"",""May"",""1"",""5"",""2000"""
"402,""2000-05-02"",""Tuesday"",""May"",""2"",""5"",""2000"""
"403,""2000-05-03"",""Wednesday"",""May"",""3"",""5"",""2000"""
"404,""2000-05-04"",""Thursday"",""May"",""4"",""5"",""2000"""
"405,""2000-05-05"",""Friday"",""May"",""5"",""5"",""2000"""
"406,""2000-05-06"",""Saturday"",""May"",""6"",""5"",""2000"""
"407,""2000-05-07"",""Sunday"",""May"",""7"",""5"",""2000"""
"408,""2000-05-08"",""Monday"",""May"",""1"",""5"",""2000"""
"409,""2000-05-09"",""Tuesday"",""May"",""2"",""5"",""2000"""
"410,""2000-05-10"",""Wednesday"",""May"",""3"",""5"",""2000"""
"411,""2000-05-11"",""Thursday"",""May"",""4"",""5"",""2000"""
"412,""2000-05-12"",""Friday"",""May"",""5"",""5"",""2000"""
"413,""2000-05-13"",""Saturday"",""May"",""6"",""5"",""2000"""
"414,""2000-05-14"",""Sunday"",""May"",""7"",""5"",""2000"""
"415,""2000-05-15"",""Monday"",""May"",""1"",""5"",""2000"""
"416,""2000-05-16"",""Tuesday"",""May"",""2"",""5"",""2000"""
"417,""2000-05-17"",""Wednesday"",""May"",""3"",""5"",""2000"""
"418,""2000-05-18"",""Thursday"",""May"",""4"",""5"",""2000"""
"419,""2000-05-19"",""Friday"",""May"",""5"",""5"",""2000"""
"420,""2000-05-20"",""Saturday"",""May"",""6"",""5"",""2000"""
"421,""2000-05-21"",""Sunday"",""May"",""7"",""5"",""2000"""
"422,""2000-05-22"",""Monday"",""May"",""1"",""5"",""2000"""
"423,""2000-05-23"",""Tuesday"",""May"",""2"",""5"",""2000"""
"424,""2000-05-24"",""Wednesday"",""May"",""3"",""5"",""2000"""
"425,""2000-05-25"",""Thursday"",""May"",""4"",""5"",""2000"""
"426,""2000-05-26"",""Friday"",""May"",""5"",""5"",""2000"""
"427,""2000-05-27"",""Saturday"",""May"",""6"",""5"",""2000"""
"428,""2000-05-28"",""Sunday"",""May"",""7"",""5"",""2000"""
"429,""2000-05-29"",""Monday"",""May"",""1"",""5"",""2000"""
"430,""2000-05-30"",""Tuesday"",""May"",""2"",""5"",""2000"""
"431,""2000-05-31"",""Wednesday"",""May"",""3"",""5"",""2000"""
"501,""2000-06-01"",""Thursday"",""Jun"",""4"",""6"",""2000"""
"502,""2000-06-02"",""Friday"",""Jun"",""5"",""6"",""2000"""
"503,""2000-06-03"",""Saturday"",""Jun"",""6"",""6"",""2000"""
"504,""2000-06-04"",""Sunday"",""Jun"",""7"",""6"",""2000"""
"505,""2000-06-05"",""Monday"",""Jun"",""1"",""6"",""2000"""
"506,""2000-06-06"",""Tuesday"",""Jun"",""2"",""6"",""2000"""
"507,""2000-06-07"",""Wednesday"",""Jun"",""3"",""6"",""2000"""
"508,""2000-06-08"",""Thursday"",""Jun"",""4"",""6"",""2000"""
